data,cotacaoCompra,cotacaoVenda
2015-01-02,2.6923,2.6929
2015-01-05,2.7101,2.7107
2015-01-06,2.7016,2.7023
2015-01-07,2.6801,2.6807
2015-01-08,2.6913,2.6919
2015-01-09,2.6577,2.6583
2015-01-12,2.6569,2.6575
2015-01-13,2.6479,2.6485
2015-01-14,2.6216,2.6222
2015-01-15,2.6116,2.6122
2015-01-16,2.6187,2.6193
2015-01-19,2.6237,2.6243
2015-01-20,2.6241,2.6247
2015-01-21,2.5961,2.5968
2015-01-22,2.5748,2.5754
2015-01-23,2.585,2.5856
2015-01-26,2.596,2.5966
2015-01-27,2.5803,2.5809
2015-01-28,2.5791,2.5797
2015-01-29,2.5954,2.596
2015-01-30,2.6617,2.6623
2015-02-02,2.6888,2.6894
2015-02-03,2.7053,2.7059
2015-02-04,2.7142,2.7148
2015-02-05,2.738,2.7386
2015-02-06,2.7635,2.7641
2015-02-09,2.7867,2.7873
2015-02-10,2.8069,2.8075
2015-02-11,2.857,2.8576
2015-02-12,2.8619,2.8625
2015-02-13,2.8385,2.8392
2015-02-18,2.8424,2.843
2015-02-19,2.8539,2.8545
2015-02-20,2.8694,2.8701
2015-02-23,2.8805,2.8811
2015-02-24,2.8643,2.8649
2015-02-25,2.864,2.8646
2015-02-26,2.8721,2.8728
2015-02-27,2.8777,2.8782
2015-03-02,2.8649,2.8655
2015-03-03,2.9045,2.9051
2015-03-04,2.9798,2.9804
2015-03-05,2.9925,2.9931
2015-03-06,3.036,3.0366
2015-03-09,3.1012,3.1018
2015-03-10,3.1293,3.1299
2015-03-11,3.1156,3.1162
2015-03-12,3.1165,3.1171
2015-03-13,3.2258,3.2264
2015-03-16,3.2251,3.2257
2015-03-17,3.2677,3.2683
2015-03-18,3.2512,3.2518
2015-03-19,3.2635,3.2642
2015-03-20,3.2417,3.2423
2015-03-23,3.1793,3.18
2015-03-24,3.1304,3.131
2015-03-25,3.1469,3.1476
2015-03-26,3.1909,3.1915
2015-03-27,3.2253,3.2259
2015-03-30,3.2595,3.2601
2015-03-31,3.2074,3.208
2015-04-01,3.1549,3.1556
2015-04-02,3.1486,3.1492
2015-04-06,3.092,3.0926
2015-04-07,3.1225,3.1231
2015-04-08,3.0828,3.0834
2015-04-09,3.0459,3.0466
2015-04-10,3.0789,3.0796
2015-04-13,3.1005,3.1011
2015-04-14,3.0874,3.088
2015-04-15,3.0675,3.0681
2015-04-16,3.0243,3.0249
2015-04-17,3.0538,3.0544
2015-04-20,3.0467,3.0473
2015-04-22,3.018,3.0186
2015-04-23,3.0077,3.0084
2015-04-24,2.9739,2.9745
2015-04-27,2.9229,2.9236
2015-04-28,2.8937,2.8943
2015-04-29,2.9369,2.9375
2015-04-30,2.993,2.9936
2015-05-04,3.0748,3.0754
2015-05-05,3.0619,3.0626
2015-05-06,3.0414,3.042
2015-05-07,3.0415,3.0421
2015-05-08,2.9959,2.9966
2015-05-11,3.0169,3.0175
2015-05-12,3.0382,3.0389
2015-05-13,3.0096,3.0103
2015-05-14,3.0026,3.0032
2015-05-15,2.9887,2.9894
2015-05-18,3.0139,3.0145
2015-05-19,3.0278,3.0284
2015-05-20,3.034,3.0347
2015-05-21,3.0289,3.0295
2015-05-22,3.0647,3.0653
2015-05-25,3.1206,3.1212
2015-05-26,3.1345,3.1351
2015-05-27,3.1734,3.174
2015-05-28,3.1741,3.1748
2015-05-29,3.1781,3.1788
2015-06-01,3.1783,3.1789
2015-06-02,3.1437,3.1443
2015-06-03,3.1178,3.1184
2015-06-05,3.1677,3.1684
2015-06-08,3.1184,3.119
2015-06-09,3.0985,3.0991
2015-06-10,3.0837,3.0843
2015-06-11,3.1508,3.1514
2015-06-12,3.1101,3.1107
2015-06-15,3.103,3.1036
2015-06-16,3.1076,3.1082
2015-06-17,3.0983,3.0989
2015-06-18,3.0466,3.0472
2015-06-19,3.0782,3.0788
2015-06-22,3.0751,3.0757
2015-06-23,3.1036,3.1042
2015-06-24,3.0846,3.0852
2015-06-25,3.1009,3.1015
2015-06-26,3.1265,3.1271
2015-06-29,3.1383,3.139
2015-06-30,3.1019,3.1026
2015-07-01,3.1185,3.1191
2015-07-02,3.1166,3.1173
2015-07-03,3.1265,3.1271
2015-07-06,3.1425,3.1431
2015-07-07,3.1803,3.1809
2015-07-08,3.2275,3.2282
2015-07-09,3.2152,3.2163
2015-07-10,3.1891,3.1897
2015-07-13,3.1588,3.1594
2015-07-14,3.1224,3.123
2015-07-15,3.1526,3.1532
2015-07-16,3.1369,3.1375
2015-07-17,3.1826,3.1832
2015-07-20,3.2143,3.2149
2015-07-21,3.1807,3.1813
2015-07-22,3.2088,3.2094
2015-07-23,3.2844,3.285
2015-07-24,3.3248,3.3254
2015-07-27,3.3551,3.3557
2015-07-28,3.3808,3.3815
2015-07-29,3.3413,3.3419
2015-07-30,3.3646,3.3652
2015-07-31,3.3934,3.394
2015-08-03,3.4419,3.4425
2015-08-04,3.4669,3.4675
2015-08-05,3.4844,3.4851
2015-08-06,3.5341,3.5347
2015-08-07,3.5175,3.5181
2015-08-10,3.4903,3.4909
2015-08-11,3.4919,3.4925
2015-08-12,3.482,3.4826
2015-08-13,3.5068,3.5074
2015-08-14,3.4755,3.4761
2015-08-17,3.4739,3.4746
2015-08-18,3.4805,3.4811
2015-08-19,3.4843,3.4849
2015-08-20,3.4745,3.4751
2015-08-21,3.489,3.4896
2015-08-24,3.5488,3.5494
2015-08-25,3.5339,3.5345
2015-08-26,3.632,3.6326
2015-08-27,3.5549,3.5555
2015-08-28,3.5784,3.579
2015-08-31,3.6461,3.6467
2015-09-01,3.6719,3.6725
2015-09-02,3.7307,3.7314
2015-09-03,3.7753,3.776
2015-09-04,3.798,3.7986
2015-09-08,3.8021,3.8028
2015-09-09,3.7864,3.787
2015-09-10,3.8691,3.8698
2015-09-11,3.8692,3.8698
2015-09-14,3.8647,3.8653
2015-09-15,3.8593,3.8599
2015-09-16,3.8361,3.8368
2015-09-17,3.8915,3.8921
2015-09-18,3.9015,3.9021
2015-09-21,3.9815,3.9821
2015-09-22,4.0419,4.0425
2015-09-23,4.1034,4.1041
2015-09-24,4.1942,4.1949
2015-09-25,3.9472,3.9479
2015-09-28,4.0093,4.0099
2015-09-29,4.1165,4.1172
2015-09-30,3.9722,3.9729
2015-10-01,3.9788,3.9794
2015-10-02,4.0003,4.001
2015-10-05,3.9135,3.9141
2015-10-06,3.8561,3.8567
2015-10-07,3.8053,3.806
2015-10-08,3.8511,3.8517
2015-10-09,3.738,3.7386
2015-10-13,3.8243,3.825
2015-10-14,3.8501,3.8507
2015-10-15,3.8337,3.8344
2015-10-16,3.8432,3.8438
2015-10-19,3.9009,3.9015
2015-10-20,3.865,3.8656
2015-10-21,3.938,3.9386
2015-10-22,3.9354,3.936
2015-10-23,3.8982,3.8988
2015-10-26,3.8575,3.8582
2015-10-27,3.9108,3.9114
2015-10-28,3.8791,3.8797
2015-10-29,3.9321,3.9328
2015-10-30,3.8582,3.8589
2015-11-03,3.812,3.8126
2015-11-04,3.768,3.7687
2015-11-05,3.7887,3.7893
2015-11-06,3.8053,3.8059
2015-11-09,3.7922,3.7928
2015-11-10,3.7975,3.7981
2015-11-11,3.732,3.7327
2015-11-12,3.799,3.7996
2015-11-13,3.8016,3.8023
2015-11-16,3.833,3.8336
2015-11-17,3.8045,3.8052
2015-11-18,3.7915,3.7921
2015-11-19,3.7435,3.7442
2015-11-20,3.7,3.701
2015-11-23,3.7224,3.7231
2015-11-24,3.7075,3.7081
2015-11-25,3.7682,3.7688
2015-11-26,3.76,3.7606
2015-11-27,3.7392,3.7399
2015-11-30,3.8499,3.8506
2015-12-01,3.8739,3.8745
2015-12-02,3.8539,3.8545
2015-12-03,3.7964,3.797
2015-12-04,3.7569,3.7575
2015-12-07,3.747,3.7476
2015-12-08,3.7915,3.7921
2015-12-09,3.7573,3.758
2015-12-10,3.7679,3.7685
2015-12-11,3.8541,3.8548
2015-12-14,3.9017,3.9023
2015-12-15,3.8697,3.8703
2015-12-16,3.9351,3.9357
2015-12-17,3.8923,3.8929
2015-12-18,3.9056,3.9062
2015-12-21,3.9825,3.9831
2015-12-22,3.9764,3.977
2015-12-23,3.9626,3.9632
2015-12-24,3.9511,3.9524
2015-12-28,3.918,3.9186
2015-12-29,3.8486,3.8492
2015-12-30,3.9042,3.9048
2015-12-31,3.9042,3.9048
2016-01-04,4.038,4.0387
2016-01-05,4.0108,4.0114
2016-01-06,4.0297,4.0303
2016-01-07,4.0469,4.0475
2016-01-08,4.0244,4.025
2016-01-11,4.0147,4.0153
2016-01-12,4.0293,4.0299
2016-01-13,3.9857,3.9863
2016-01-14,4.0217,4.0223
2016-01-15,4.0396,4.0402
2016-01-18,4.0358,4.0364
2016-01-19,4.0297,4.0303
2016-01-20,4.0855,4.0861
2016-01-21,4.1552,4.1558
2016-01-22,4.1226,4.1232
2016-01-25,4.0991,4.1002
2016-01-26,4.0961,4.0967
2016-01-27,4.0441,4.0448
2016-01-28,4.0832,4.0838
2016-01-29,4.0422,4.0428
2016-02-01,3.9979,3.9986
2016-02-02,3.9913,3.9919
2016-02-03,3.9552,3.9558
2016-02-04,3.8646,3.8653
2016-02-05,3.8969,3.8975
2016-02-10,3.9406,3.9412
2016-02-11,3.9636,3.9642
2016-02-12,3.9884,3.9891
2016-02-15,3.9879,3.9885
2016-02-16,4.0207,4.0213
2016-02-17,4.0312,4.0318
2016-02-18,4.0084,4.0091
2016-02-19,4.0486,4.0492
2016-02-22,3.9612,3.9618
2016-02-23,3.9678,3.9684
2016-02-24,3.9894,3.99
2016-02-25,3.9394,3.94
2016-02-26,3.9571,3.9578
2016-02-29,3.979,3.9796
2016-03-01,3.9907,3.9913
2016-03-02,3.911,3.9116
2016-03-03,3.8498,3.8504
2016-03-04,3.7182,3.7188
2016-03-07,3.7708,3.7714
2016-03-08,3.7807,3.7813
2016-03-09,3.7031,3.7037
2016-03-10,3.6694,3.67
2016-03-11,3.6265,3.6271
2016-03-14,3.6232,3.6239
2016-03-15,3.711,3.7116
2016-03-16,3.8073,3.8079
2016-03-17,3.6439,3.6445
2016-03-18,3.614,3.6146
2016-03-21,3.6223,3.6229
2016-03-22,3.6067,3.6073
2016-03-23,3.6525,3.6531
2016-03-24,3.6942,3.6948
2016-03-28,3.6401,3.6408
2016-03-29,3.6681,3.6687
2016-03-30,3.611,3.6116
2016-03-31,3.5583,3.5589
2016-04-01,3.5793,3.5799
2016-04-04,3.5865,3.5871
2016-04-05,3.6575,3.6581
2016-04-06,3.6743,3.6749
2016-04-07,3.6915,3.6921
2016-04-08,3.6379,3.6385
2016-04-11,3.5278,3.5284
2016-04-12,3.54,3.5406
2016-04-13,3.5423,3.5429
2016-04-14,3.512,3.5126
2016-04-15,3.527,3.5276
2016-04-18,3.5898,3.5904
2016-04-19,3.5532,3.5538
2016-04-20,3.5497,3.5503
2016-04-22,3.5823,3.5829
2016-04-25,3.5466,3.5472
2016-04-26,3.5294,3.5301
2016-04-27,3.5289,3.5295
2016-04-28,3.4986,3.4992
2016-04-29,3.4502,3.4508
2016-05-02,3.4985,3.4991
2016-05-03,3.5544,3.555
2016-05-04,3.5391,3.5397
2016-05-05,3.529,3.5296
2016-05-06,3.5356,3.5362
2016-05-09,3.538,3.5387
2016-05-10,3.4766,3.4772
2016-05-11,3.4639,3.4645
2016-05-12,3.4871,3.4877
2016-05-13,3.5035,3.5041
2016-05-16,3.5029,3.5035
2016-05-17,3.5031,3.5037
2016-05-18,3.5362,3.5368
2016-05-19,3.5997,3.6003
2016-05-20,3.5413,3.5419
2016-05-23,3.5654,3.566
2016-05-24,3.5485,3.5491
2016-05-25,3.5798,3.5804
2016-05-27,3.6162,3.6168
2016-05-30,3.5991,3.5997
2016-05-31,3.5945,3.5951
2016-06-01,3.612,3.6126
2016-06-02,3.5955,3.5961
2016-06-03,3.5403,3.5409
2016-06-06,3.5092,3.5098
2016-06-07,3.4739,3.4745
2016-06-08,3.3892,3.3898
2016-06-09,3.3811,3.3817
2016-06-10,3.4255,3.4261
2016-06-13,3.4527,3.4533
2016-06-14,3.4833,3.4839
2016-06-15,3.4762,3.4768
2016-06-16,3.4898,3.4904
2016-06-17,3.4366,3.4372
2016-06-20,3.3829,3.3835
2016-06-21,3.3891,3.3897
2016-06-22,3.3877,3.3883
2016-06-23,3.3527,3.3533
2016-06-24,3.3766,3.3772
2016-06-27,3.3928,3.3934
2016-06-28,3.3261,3.3267
2016-06-29,3.2429,3.2435
2016-06-30,3.2092,3.2098
2016-07-01,3.2292,3.2298
2016-07-04,3.2474,3.248
2016-07-05,3.2898,3.2904
2016-07-06,3.3236,3.3242
2016-07-07,3.3382,3.3388
2016-07-08,3.2962,3.2968
2016-07-11,3.3025,3.3031
2016-07-12,3.2744,3.275
2016-07-13,3.289,3.2896
2016-07-14,3.2305,3.2311
2016-07-15,3.265,3.2656
2016-07-18,3.2628,3.2634
2016-07-19,3.2795,3.2801
2016-07-20,3.2506,3.2512
2016-07-21,3.2579,3.2585
2016-07-22,3.2848,3.2854
2016-07-25,3.2813,3.2819
2016-07-26,3.2784,3.279
2016-07-27,3.2814,3.282
2016-07-28,3.2734,3.274
2016-07-29,3.2384,3.239
2016-08-01,3.2656,3.2662
2016-08-02,3.2484,3.249
2016-08-03,3.2727,3.2733
2016-08-04,3.2177,3.2183
2016-08-05,3.1853,3.1859
2016-08-08,3.1765,3.1771
2016-08-09,3.1497,3.1503
2016-08-10,3.1296,3.1302
2016-08-11,3.1358,3.1364
2016-08-12,3.1596,3.1602
2016-08-15,3.1666,3.1672
2016-08-16,3.1743,3.1749
2016-08-17,3.2242,3.2248
2016-08-18,3.2209,3.2215
2016-08-19,3.2261,3.2267
2016-08-22,3.2157,3.2163
2016-08-23,3.2047,3.2054
2016-08-24,3.2366,3.2372
2016-08-25,3.2313,3.2319
2016-08-26,3.2147,3.2153
2016-08-29,3.2607,3.2613
2016-08-30,3.2519,3.2525
2016-08-31,3.2397,3.2403
2016-09-01,3.2466,3.2472
2016-09-02,3.2425,3.2431
2016-09-05,3.2715,3.2721
2016-09-06,3.2446,3.2452
2016-09-08,3.1928,3.1934
2016-09-09,3.2632,3.2638
2016-09-12,3.2848,3.2854
2016-09-13,3.2966,3.2972
2016-09-14,3.3256,3.3262
2016-09-15,3.332,3.3326
2016-09-16,3.2998,3.3004
2016-09-19,3.263,3.2636
2016-09-20,3.2534,3.254
2016-09-21,3.2402,3.2408
2016-09-22,3.2009,3.2015
2016-09-23,3.2236,3.2242
2016-09-26,3.2394,3.24
2016-09-27,3.2352,3.2358
2016-09-28,3.247,3.2476
2016-09-29,3.2229,3.2235
2016-09-30,3.2456,3.2462
2016-10-03,3.2332,3.2338
2016-10-04,3.2197,3.2203
2016-10-05,3.2353,3.2359
2016-10-06,3.2304,3.231
2016-10-07,3.2128,3.2134
2016-10-10,3.2119,3.2125
2016-10-11,3.213,3.2136
2016-10-13,3.2081,3.2087
2016-10-14,3.1858,3.1864
2016-10-17,3.1957,3.1963
2016-10-18,3.1868,3.1874
2016-10-19,3.1794,3.18
2016-10-20,3.1599,3.1605
2016-10-21,3.1587,3.1593
2016-10-24,3.1305,3.1311
2016-10-25,3.1187,3.1193
2016-10-26,3.1213,3.1219
2016-10-27,3.1423,3.1429
2016-10-28,3.1809,3.1815
2016-10-31,3.1805,3.1811
2016-11-01,3.2047,3.2053
2016-11-03,3.2304,3.231
2016-11-04,3.2443,3.2449
2016-11-07,3.2018,3.2024
2016-11-08,3.2018,3.2024
2016-11-09,3.2252,3.2258
2016-11-10,3.3098,3.3104
2016-11-11,3.4371,3.4377
2016-11-14,3.444,3.4446
2016-11-16,3.4177,3.4183
2016-11-17,3.4046,3.4052
2016-11-18,3.3911,3.3917
2016-11-21,3.3511,3.3517
2016-11-22,3.347,3.3476
2016-11-23,3.3921,3.3927
2016-11-24,3.3981,3.3987
2016-11-25,3.4273,3.4279
2016-11-28,3.399,3.3996
2016-11-29,3.4054,3.406
